polarity,final_messages
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,LMao phew. Who doesn’t like a lil bit of crazy tho
0,Alright which flavor tho
0,Alright I can fw that haha mine is probs grape tbh which is a bit odd
0,That sounds way better than what I put 😂 sushi is so good ah
0,HAHA no I like grape flavored things tho. But if they had a mango 4 loko it would instantly be my favorite
0,That’s my go to!!
0,I get sushi 1-2x a week at Ku lol
0,At UW
0,Mango always slaps that’s a fact
0,UBC is kinda hype tho I’ve been around there a lil bit and it’s always great
0,I feel like that’s the probs the best part about it 😂 I only went up before 21
0,Okay top 3 albums go
0,"Mine are Blonde by Frank, Harry Styles by Harry Styles, and Ctrl by SZA"
0,Rex Orang County pulls in 4th
0,There are literally no skips on Harry Styles first album
0,Super clean Vol 2 going straight to the queue haha
0,Okay Frank is my #1 haha everything is the best
0,HER is so good too ah
0,I just listened to NIKI for the first time today would recommend
0,Bet I’ll listen rn haha. I listened to the beginning of super clean vol 2 and it’s super good
0,One of my favorites rn is Giveon I would give him a listen
0,Haha I searched revitalized and I came up first
0,Giveon has that sadboi vibes but i swear his music is so touching and so good
0,HAHA right mine is the same. I always tell ppl I swear I’m not sad that’s just my fave music
0,That’s literally like my fave of Frank haha I love Endless
0,It sounds euphoric
0,It do be like dat
0,If u finish Giveon btw Sampha sounds just like him
0,If u end up liking him haha
0,Big fax haha he’s just super soothing. Like I want you and Heartbreak anniversary are my faves I think
0,Haha same thank u too! Night
0,You have some great playlists lol
0,I like your revitalized playlist but i def listened to your simp playlist LMAO
0,I was gonna say it’s def an anti-simp playlist LMAO
0,you have good playlists tho
0,Lmao u know that’s gonna be my playlist tmrw
0,Truuuu it’s the highlight of quarantine so far
1,You made my heart skip a beat so u better pay my medical bills
1,Hey 🥴
1,Y u so cute
1,What’s your best pickup line
1,Hey boo
1,Hey baby
1,In your heart ❤️
0,No sadly I wish
1,Let’s go halves on a baby
1,Let’s go halves on a baby
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
1,Let’s go halves on a baby
1,Bet we’ll have to practice a few times first tho
1,Let’s go halves on a baby
1,Let’s go halves on a baby
0,Bet
0,We can switch back and forth
0,Hahaha
0,Seattle WA so pretty far sadly
1,Brienna you made my heart skip a beat so u better pay my medical bills
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,The most cultured
0,Now should I put you down for a watermelon loko or do you prefer green apple?
0,Phew I don’t have to unmatch you are cultured yourself
1,"And it’s perfect because I’m also super high maintenance,  don’t understand sarcasm, and have no sense of humor"
0,Highkey that last meme is SO me could u tell me where to get it
0,Also fuck yes Bernie and ACAB ofc
0,🥺 omg I was actually able to find it looking up frank ocean kid cudi me LOL
0,Such a mood
0,Exact same lil drunk and Frank hits different
0,Hi
0,"Okay I’ll be real, I’m trying to figure out which should be my first pic on my tinder. Help me decide?"
0,"Okay I’ll be real, I’m trying to figure out which should be my first pic on my tinder. Help me decide?"
1,Let’s go halves on a baby
1,I mean we will have to practice a few times first
0,Hmm that is tough
0,I hope you have a lot of airline miles
1,Anushka you stole my heart can you give it back?
1,Will I at least have free room and board at your place when I come?
1,I’ll stay in your bed if I have to
1,"If I make it there I’ll know exactly who to text 😉 come to Seattle and you’ll have free room, board, and breakfast"
1,The biggest shame. I could only imagine what kind of trouble we would get into
0,I have a lot of friends there so I passported
0,Sigh it’s a curse 😞 one day
0,Psh gimme one day I’ll run
0,Gotta do what you gotta do
0,I’m a marketing analytics major :-)
0,It’ll be the best selling movie ever
0,"Okay I’ll be real, I’m trying to figure out which should be my first pic on my tinder. Help me decide?"
0,So which one?
1,You’re the best ❤️
1,Thank u! U have a very nice smile
1,Your waist is fucking SNATCHED
1,You’re too nice 🥰 what tattoos do u have?
0,Oh that’s so nice you’ll have to show me sometime
0,None I’m a clean slate. One day tho
0,That’s good to hear! Highkey whenever I see you message me I think exactly what my first message says haha
1,Like damn u gifted
0,Aw :( it’s beautiful just how it is Lilyana
0,Liyana *
0,Autocorrect
0,I feel that it can be hard to overcome the insecurity. Ur Killin it tho Liyana
1,You have the most snatched waist I’ve ever seen
1,My rhymes: the sickest      My ass: the thiccest
1,U made my heart skip a beat
1,Be prepared to pay my medical bills
0,Sorry it’s just how it goes 🤷‍♀️
0,Your beauty is what did it
1,The only thing that’s sweet is you 👀
0,I’m in the states 😆
1,Nothing can separate us
1,Let’s go halves on a baby
1,We’ll have to practice first 👀
1,So are you flying to me or am I flying to you?
0,"Okay I’ll be real, I’m trying to figure out which should be my first pic on my tinder. Help me decide?"
0,Ah sitting? Thank u so much Pias you’re the best ❤️❤️❤️
1,Send me your best pickup line
0,"Okay I’ll be real, I’m trying to figure out which should be my first pic on my tinder. Help me decide?"
0,"Okay I’ll be real, I’m trying to figure out which should be my first pic on my tinder. Help me decide?"
0,"Okay I’ll be real, I’m trying to figure out which should be my first pic on my tinder. Help me decide?"
0,"Okay I’ll be real, I’m trying to figure out which should be my first pic on my tinder. Help me decide?"
0,"Okay I’ll be real, I’m trying to figure out which should be my first pic on my tinder. Help me decide?"
0,"Okay I’ll be real, I’m trying to figure out which should be my first pic on my tinder. Help me decide?"
0,Did u find ur ex
0,Damn it do be like dat
0,Haha no she hasn’t made one yet either
0,😂 it’s chill tho. Wbu
0,So did u leave the stove on?
0,I was gonna say that’s quite the fire hazard
0,Ofc is that even a question
1,Aw so cute 🥺
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,Alright that was kinda lame but like hi I’m Noah
1,❤️❤️❤️
1,You caught my attention
1,Do you have a Snapchat beautiful
0,Please send
0,Me
0,I’ll send what u send
1,Debbie be honest with me let’s have a deep conversation
1,Are you my homework? Cause I’m not doing you but I definitely should be
1,That pool looks refreshing but not as refreshing as you
1,Be the peach to my Mario
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,Even if we can’t do it all 2 4 lokos and Chuck E. Cheese sounds like a win to me
1,A woman of culture
0,Hey hey
1,Like chocolate 🍫
0,🥺👉👈 Simpin is the best way to my heart
0,My fatal flaw is not having animal crossing 💀 ikik unforgivable
0,Oh the first date?
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,Phew at least you didn’t have to use up the daily super like 😅
0,I’ll get the lokos you get the skee ball
0,Hey 👋
1,What’s your best pickup line
0,My rhymes: the sickest      My ass: the thiccest
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
,Hey cutie
,If you were a fruit you would be a fine-apple
,What’s your best pickup line
,You gotta have oneeee
,Are you my homework? Cause I’m not doing you but I definitely should be
,So do I 👀👀
,"I’m having trouble sleeping by myself, can you sleep with me?"
,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,I win
0,Haha you didn’t let me finish! First messages are terrible lol
0,It’s mine too actually I just got tinder a couple days ago
0,Going good! Wbu?
0,True true quarantine has been so boring
1,Awe thanks Kye 🥴 ur 🔥
0,Heyy
1,I love the earth. Let’s save water and shower together.
1,🤩👀🤩👀
1,"Save a horse, ride a cowboy (me)"
1,Hi I’m a normal person
1,Hey hey :) how are u
0,Im doing good!! I napped so long today so I’m wide awake now haha
0,Yeah feeling good! What major are you?
0,Oh shit it’s in ur bio I’m stupid lol
0,Oh that’s so dope!!
0,I’m a marketing and Information systems double major haha going into more of a data role hopefully after graduating
0,I really liked marketing in high school then coming to UW got more into tech so combined em :) what got u into envi sci?
0,Aw that’s so cool and also so great!! I know in one of my current issues classes last year there was a section on environmental issues facing us today and damn it’s so sad and honestly needs so much work
0,Are you planning on going to school past undergrad?
0,Yeah! Next winter I’ll be all done sadly
0,College went by too fast
0,I’m planning on finishing undergrad and going into my career but hopefully doing evening MBA through my company haha
0,Kind of testing the waters haha it’s been a while since I’ve been on so I’m seeing what it’s like. Plus during quarantine it’s really nice to just have a convo
0,Wbu?
0,Yeah! Totally it’s def new to me being on Tinder but that whole few days at a time thing is kind of off putting. Idk nothing too serious but just go with the flow really
0,How has quarantine been for u?
0,It’s been alright I feel a lot more productive but I’m a heavy extrovert so not being able to see anyone has been killing me for sure haha
0,I have so much more time to watch stuff tho so I’m happy about that!
0,I’m back in Seattle with my roommates tho which I’m so grateful for!
0,"I’ve been watching some movies! I just watched Love, Simon and 13th this past weekend"
0,Yeah I really liked em!! Especially 13th def recommended time so many
0,Honestly haha I’ve been making my friends and fam watch
0,Talk to u tmrw nice talking to u!! Good luck at work tmrw 👋👋
0,Sorry I was so busy today!! Hope work went well
0,All good haha I’ve just been working too so pretty routine
0,A 13” height difference isn’t a big deal right?
0,Phew thought it might be a deal breaker
0,How are you?
0,Oh fuck I’m sorry that’s awful how did that happen?
0,Pretty good! Did a night run which was refreshing
0,At least there’s a good story behind it!! I’m jealous of the boat haha I really wanna go out on the lake
0,My day was pretty boring lol I work full time from home so it was a lot of staring at my computer 😂 getting a run in after was super refreshing tho
0,Oh no worries haha I just got my projects for the summer so it’s picking up speed
0,What are you studying?
0,Oh that’s so cool! Miss corona needs to leave smh
0,Imma be really happy once ppl can start hanging out in large groups again haha
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
1,"The stilts are an incredible party trick, really ups my game"
0,I must come clean the stilts are more of a wish than a reality 😞 a man can dream
0,Roller skating is so much fun but I’m so awful at it lol
0,I wanna learn how to skateboard I feel like it’d be so fun
0,We’ll be doing kick flips in no time
0,So you go to U of A how is that?
0,Aw nice! I’m so ready for quarantine to be over and see all my college friends tho
0,They’re spread out through WA and I’m in U district haha so they don’t come around
0,Me and my roommates are just chillin at our apt for quarantine
1,Snap ?
1,Snap ?
0,I’m doing good
0,Oh YUH
0,No snap
1,Snap
1,Your snap is crazy
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,Bet I got the 4 lokos U get the skee ball. Those 8 year olds don’t stand a chance
1,Sweet I think to better coordinate this I need your snap tho
0,I gotchu 👉👈
0,No crazy pick up line sorry :(
0,If we go to chipotle you best expect me to order the Quesarito
0,You haven’t lived life yet
0,Think of your best chipotle experience... then add a quesadilla
0,2x better
0,Never a bad investment
0,It’s whatever your chipotle order is but instead of a tortilla it’s a quesadilla
0,Best invention of all time
0,We can make that a regular thing
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,Fathers Day is the perfect time for two four lokos
0,Damn :( fathers always gotta be ruinin this
1,Lemme blow ur mind another day
0,Damn always something
1,Well hmu with ur snap and one day it’ll work out
0,I gotchu 👉👈
0,Jay is my middle name so I think it’s destiny
0,Well if u like David Dobrik it might be more than destiny... Fate
0,It’s my second day here ion know either
0,Hey
0,Hey Bella 👋
0,Hey I’m a marketing major
0,Oh shit should’ve read your bio first
0,Gotta play yourself before you get played
0,Always one step ahead
0,LMao damn it do be like dat
0,I liked it in HS so wanted to continue but I am also an Information Systems major so I’m tryna do more of like a marketing analytics type role haha
0,What major r u?
0,Yeah exactly! Measuring KPIs so that what marketing is doing is actually worth it 😂
0,Oh nice! It’s so true tho marketing majors def make it known haha. I like it tho I’m a heavy extrovert
0,"Exactly! I think if I were to do college again I’d try some more creative stuff tho, some of the work I see Some people do is so cool"
0,Ah I feel that. I can go for quite some time but that bit of alone time is so crucial haha
0,I know I’m pushing my credits to the limit to graduate early 😂 I had room for one extra class next quarter which I’m excited for
0,UGH RIGHT next party is gonna be the best of all time I swear
0,DAMN that’s a good way to keep busy!
0,My roommate is doing some classes too I’m working tho so I can’t :(
0,RIGHT i drink with my roommates but it’s just not the same :((
0,Everything closed right after I turned 21 too so it’s extra bulky 😂
0,I’m doing a marketing internship at SAP Concur for the summer!
0,Ugh that’s an L you’ll have to go extra hard after quarantine to make up for it
0,Yeah! Working from home is def weird but I’ve gotten into a routine now
1,Ah my ideal first date would go something likeee
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,"And aw thanks!! I usually wouldn’t have Kanye so high, usually it is Frank, Harry, and SZA"
0,Damn I lost
1,Oh I thought we’re having a competition to see who wouldn’t send the first message
1,I couldn’t hold out any longer
0,You could but it’s pretty confidential. Might have to sign an NDA
0,Hmm I suppose I can trust a lawyer
0,They were given to me at a very young age. Now I always wear them because I’m a 🤡
0,See you think it would be super profitable but really it just makes it tough to get in cars and to sleep
0,I’m always picked first for basketball tho so that’s a plus
0,I feel like permanent stilts would be a pretty popular wish from some short kings hahaha
0,I’d be worried to make a wish cuz I feel like they usually end up bad
0,Exactly I’ve already got a leg up on everyone else
0,"It’s been okay, I work from home most of the day and then hangout with my roommates. Kind of stuck in a routine but happy I get to see some of my friends haha. U?"
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,Hey Deej 👋
1,Let’s get married for tax purposes
1,"Perfect, but like if we stay married I’m cool with that too"
1,What’s your best pickup line?
0,I’m terrible with pickup lines haha
0,Purely economical tax season is so tough
0,Our retirement plan is gonna be so boujee
0,Def getting a jet ski
0,65 year old Noah will be SHREDDIN the waves
0,Oh ofc my ride or die has to be out there w me
1,A 13” difference is no big deal right?
1,Perfect I can reach the high shelves and you can get the low ones
1,Oh damn I thought you were talking about yourself. Knew that couldn't be true tho because you're 11/10 cute
1,Oof I’m only free at 6 am every leap year I hope that’s not a problem
0,It’ll be a lit wedding tho for sure
0,Fuck you know what I mightttt be able to squeeze in 2032
0,Ah shoot me and the boys were gonna have a pong tournament then. Tell you what you can be my partner and we’ll run the tables and then sneak off to Jamaica for the honeymoon
0,BET. It’s about time somebody matched my pong skills
0,If we lose at pong is that grounds for divorce?
0,Oh shit locked in 🔒 that’s aight tho I trust we won’t lose
0,It took me so long to find that lock emoji Smh lol
0,My most recently used is some dry emojis way too many faces lol. I try to limit em
0,Oh yah same
0,Just followed back haha. I’m boutta sleep talk tmrw tho 2034 beer pong champ
0,MAK how are you
0,I napped all day lmao
0,I’m good! I got off work and passed out lol
0,I woke up to my roommates wanting to drink
0,Not the best way to wake up but it is what it is
0,My roommates are addicted to claws I swear lmao
0,I’ve gotten so used to claws from my roommates but Highkey I had a truly that tasted just like a Capri sun
0,Hennessy respect I like it
0,I haven’t done hard alc since being in quarantine tho :(
0,Oh fuck next time I’ll buy off your recommendation 😂 my roommates decided they wanted 4loko tonight and tbh it may be cheap but probs not worth
0,Ya know sometimes you just gotta humble yourself
0,I really like Ciroc tho
0,I’ll drink whatever but I def don’t mind a mixed drink. I enjoy drinking games a lot lol
0,Added!
0,We bought a table that is a nice heavy wood table but it extends into a pong table 😂 we rarely use it tho sadly
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,I’ll pay for the lokos and you got the skee ball
0,Bet what flavor do u want? Crucial information if this is gonna work
0,We’ll just mix em all together and have good ol 4 loko jungle juice
0,God that sounds gross 🤮
0,"That’s what I like to hear, mama didn’t raise no quitter 😂"
0,So you go to Wazzu are you back over towards the west for quarantine?
0,Oh nice! What job are u moving back for?
0,Damn that’s so cool! I have a friend at Wazzu in bio he’s hype to finish and get started on jobs haha
0,Trueeee it’s the same at UW ppl ask me if I know somebody but there’s like 40k students there’s no chance 😂😂
1,Hey Sofia 👋
0,"Wooden slabs are not affected by fire and also have a stronger blast resistance than that of wooden planks.

If you play on a server that has fire-spread enabled, you do not need to worry about your wooden slabs catching fire!"
0,2 matches in 1 what a bargain
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,Ofc ofc gotta put all the time I waste on tik tok to good use
0,Hi! There sure are a lot of germans studying here 🤣🤣. Are you at KI?
0,"Okay! What's your field? Could it be toxicology. I hope not 🥲💩. 

I'm working full time. No concrete plans to go back to school for a while. Working at a Service Desk for an insurance company"
0,That's really cool and interesting!
0,I hope too. I'm sure it's exactly that down the line.
0,How was your day?
0,That sounds wonderful! I can relate to the parts about sleep and being tired afterwards. Proof that your brain was utilized for something new!
0,"My day was very regular and kinda boring. Just a day at work, talking quite a bit with my colleague. Not much to do at work, not many users coming by."
0,Need to get a new job i feel like
0,Yeah it is. But very stimulating now that I've been at it for over 18 months. 😁👴
0,Damn corona. It could've been worse though. Need to remember to be grateful.
0,Haha. Yeah. I was tired today too but out of boredom.
0,When are you going to bed then? ☺️
1,"Yeah. I know how hard the lockdown is in germany. Maybe we could go to a cafe together some day?

Good night ☺️☺️"
0,Yeah. How was your day btw? 😁
0,"Haha. Can relate. Well, sleep is lot something to play around with I say. It makes a world of difference."
0,"Slept pretty okay myself. Jogged on the treadmill yesterday so that's probably why. 

How did you sleep? 👴😁"
0,Oh no. What's do you think is going on with your sleep?
0,"I had a pretty good day yesterday. Talked quite a bit with my colleague about life and relationships. It made the time fly by really quickly. Finished the day with watching Peaky Blinders. That show is really good!

How about you? ☺️"
0,Drinking lemon water is usually a dealbreaker for me
0,What good traits of your balace it out?
0,our taste buds have like nothing in common
0,tequila is the second worst alcoholic beverage imo
0,In high school we used to drink green apple vodka out of water bottles
0,thats the worst
0,cant even think about it without gagging
0,sure is haha
0,how is your weekend going?
0,"Own a musket for home defense, since that's what the founding fathers intended. Four ruffians break into my house. ""What the devil?"" As I grab my powdered wig and Kentucky rifle. Blow a golf ball sized hole through the first man, he's dead on the spot. Draw my pistol on the second man, miss him entirely because it's smoothbore and nails the neighbors dog. I have to resort to the cannon mounted at the top of the stairs loaded with grape shot, ""Tally ho lads"" the grape shot shreds two men in the blast, the sound and extra shrapnel set off car alarms. Fix bayonet and charge the last terrified rapscallion. He Bleeds out waiting on the police to arrive since triangular bayonet wounds are impossible to stitch up. Just as the founding fathers intended."
0,"You may not believe me, but I am respecting you right now, as we speak."
0,"Oh no, what sorts of messages are you getting?"
0,I've always wondered what its like to be a woman on tinder
0,"I see, at least its transparent haha"
0,How has your week been?
0,rip I do not miss finals one bit
0,what are you studying
0,Fuck yeah I'll go on frequent trips to goodwill with you
0,Whats the coolest thing you've ever gotten there?
0,"Electrical engineering and computer science at Berkeley, and then all those hobbies. How do you find the time?"
0,I feel that haha. Do you not like coding at all or are classes just enough for you?
1,"Hey Alexandra, I appreciate the super like :)"
0,How has your weekend been?
0,If this is a reference to whether I cook good spaghetti that answer is yes
0,Do u want to know the secret
0,Of course I do
0,The secret is a full stick of butter
0,Nobody can guess what you put in the spaghetti but they know its good
0,Exactly. For someone with no talent its allowed me to make pretty good food
0,How has your week been?
0,19 and already an attorney at such a prestigious law firm?
0,I'm impressed
0,I aspire to break into the industry some day
0,How is your week going?
0,It's not too bad - I have work every day this week but Thursday which isnt the best but my family is on the east coast anyway so it doesnt matter much
0,You have any plans for thanksgiving?
0,Arent you supposed to be legally representing chickens not eating them?
0,Due to dietary restrictions I can eat like nothing traditional for Thanksgiving haha so your boy will be making spaghetti
0,Oh man. celiac?
0,"I stay away from gluten, all animal products except ground beef"
0,Mostly stay away from soy
0,I went vegan for ethical reasons. Cows (especially pasture raised) live substantially better lives than other animals and produce far more meat per animal so I am reasonably comfortable eating it (the alternative is that they dont live at all). My health was pretty bad for a bit so I decided to try introducing some kind of meat and beef was the best option. Dont know if it helped or not
0,Only ground because it's cheap hahaha
0,I suspect the same thing with me regarding gluten. I tested negative for celiac but get really fatigurd when I eat bread
1,Halle how is your life going rn -10 to 10 hit me w it
1,Is it a dealbreaker that I cant whistle
0,Salutations comrade
1,Melanie you are absolutely killing it with the hats
0,How is ur life going right now 1 to 10
0,You have a very specific type
0,"I have daddy issues, still working on the alcoholism though"
0,Okay I respect the white claw helmet but tbh I have always thought truly tastes better
0,I will trade you one video of my dog trying to eat a piece of cucumber out of my hand in exchange for two pictures of your cat. Willing to negotiate
0,Or if you want to be safe you can send me 1 cat picture before and then hold out the last one til after I send the video
0,Combination of too much free time and the perfect opportunity
1,"Hey Ella, you have a great smile!"
0,How is ur life going right now 1 to 10 hit me w it
0,I would say 5 as well. I am pretty happy about the election and like it a lot in CA (just moved here). But obviously life is pretty boring haha
0,How have you been filling your time during quarantine?
0,Being a nanny plus class sounds like a lot haha - I struggled with class alone in college
0,"I grew up in new york state, but moved here from Boston"
0,Went to college in Providence... so I guess I'm coming from a lot of places
0,Cant say I've ever met someone who's been to Rhode Island but not New York hahahaha. Are you going to school in Oakland too or just at home right now?
0,"Yeah new york city is something you have to experience. There is really nowhere like it, at least in America. I would never want to live in there but it's fun for like two days hahaha"
0,"I live in Berkeley on mlk way, by ohlone park. I was actually between oakland and Berkeley when I was looking for somewhere to live but ended up here."
0,I've heard oakland really cool though
0,No worries I usually have them off too so I spend less time on this app hahaha
0,What sort of stuff do you like to do in Berkeley? With the quarantine and all I havent had much chance to explore
0,I suck at smash but what makes you think you stand a chance at jeopardy
0,Hahaha damn it you got with me the or. Either way I was bluffing you would probably wack me at both.
0,Are you a professional soccer coach?
0,That's a dope job. I was a grader in college which was an extremely exciting way to make 10 dollars an hour
0,"I'm assuming you are at Berkeley, what are you studying?"
0,"Psychology is really cool, are you gonna be a therapist or just doing it cause it's cool? Are you psychoanalyzing me as we speak"
0,"A combination of factors. I'm part of a couple communities that are centered here, it's good for.my line of work (software), the weather is great, and I wanted to try something new after spending my whole life in the northeast"
1,Dope so if we get married I can get free drugs in 10 years
0,I grew up in new york state in a town called Mamaroneck. Then my mom and I moved to Mass when I was in college and moved around there a bit.
0,I actually had never been to Ca before moving here. But I've liked it a lot so far minus the air quality
0,I have like no sense of smell so I only notice when I start coughing
